sample_id	run_accession	genotype	region	replicate	layout
BIP_ZBED6_KO_1	SRR31045405	KO	BIP	1	PE
BIP_ZBED6_KO_2	SRR31045407	KO	BIP	2	PE
BIP_ZBED6_KO_3	SRR31045408	KO	BIP	3	PE
BIP_WT_1	SRR31045386	WT	BIP	1	PE
BIP_WT_2	SRR31045387	WT	BIP	2	PE
BIP_WT_3	SRR31045404	WT	BIP	3	PE
EDL_ZBED6_KO_1	SRR31045412	KO	EDL	1	PE
EDL_ZBED6_KO_2	SRR31045413	KO	EDL	2	PE
EDL_ZBED6_KO_3	SRR31045414	KO	EDL	3	PE
EDL_WT_1	SRR31045409	WT	EDL	1	PE
EDL_WT_2	SRR31045410	WT	EDL	2	PE
EDL_WT_3	SRR31045411	WT	EDL	3	PE
GAS_ZBED6_KO_1	SRR31045419	KO	GAS	1	PE
GAS_ZBED6_KO_2	SRR31045388	KO	GAS	2	PE
GAS_ZBED6_KO_3	SRR31045389	KO	GAS	3	PE
GAS_WT_1	SRR31045415	WT	GAS	1	PE
GAS_WT_2	SRR31045416	WT	GAS	2	PE
GAS_WT_3	SRR31045418	WT	GAS	3	PE
LD_ZBED6_KO_1	SRR31045393	KO	LD	1	PE
LD_ZBED6_KO_2	SRR31045394	KO	LD	2	PE
LD_ZBED6_KO_3	SRR31045395	KO	LD	3	PE
LD_WT_1	SRR31045390	WT	LD	1	PE
LD_WT_2	SRR31045391	WT	LD	2	PE
LD_WT_3	SRR31045392	WT	LD	3	PE
PMM_ZBED6_KO_1	SRR31045400	KO	PMM	1	PE
PMM_ZBED6_KO_2	SRR31045401	KO	PMM	2	PE
PMM_ZBED6_KO_3	SRR31045402	KO	PMM	3	PE
PMM_WT_1	SRR31045397	WT	PMM	1	PE
PMM_WT_2	SRR31045398	WT	PMM	2	PE
PMM_WT_3	SRR31045399	WT	PMM	3	PE
RA_ZBED6_KO_1	SRR31045422	KO	RA	1	PE
RA_ZBED6_KO_2	SRR31045424	KO	RA	2	PE
RA_ZBED6_KO_3	SRR31045425	KO	RA	3	PE
RA_WT_1	SRR31045403	WT	RA	1	PE
RA_WT_2	SRR31045420	WT	RA	2	PE
RA_WT_3	SRR31045421	WT	RA	3	PE
SOL_ZBED6_KO_1	SRR31045429	KO	SOL	1	PE
SOL_ZBED6_KO_2	SRR31045430	KO	SOL	2	PE
SOL_ZBED6_KO_3	SRR31045431	KO	SOL	3	PE
SOL_WT_1	SRR31045426	WT	SOL	1	PE
SOL_WT_2	SRR31045427	WT	SOL	2	PE
SOL_WT_3	SRR31045428	WT	SOL	3	PE
TA_ZBED6_KO_1	SRR31045383	KO	TA	1	PE
TA_ZBED6_KO_2	SRR31045384	KO	TA	2	PE
TA_ZBED6_KO_3	SRR31045385	KO	TA	3	PE
TA_WT_1	SRR31045432	WT	TA	1	PE
TA_WT_2	SRR31045433	WT	TA	2	PE
TA_WT_3	SRR31045382	WT	TA	3	PE
TIP_ZBED6_KO_1	SRR31045423	KO	TIP	1	PE
TIP_ZBED6_KO_2	SRR31045434	KO	TIP	2	PE
TIP_ZBED6_KO_3	SRR31045435	KO	TIP	3	PE
TIP_WT_1	SRR31045406	WT	TIP	1	PE
TIP_WT_2	SRR31045417	WT	TIP	2	PE
TIP_WT_3	SRR31045396	WT	TIP	3	PE
