sample_name,tissue_type,condition
BIP_WT_1,BIP,wildtype
BIP_WT_2,BIP,wildtype
BIP_WT_3,BIP,wildtype
BIP_ZBED6_KO_1,BIP,knockout
BIP_ZBED6_KO_2,BIP,knockout
BIP_ZBED6_KO_3,BIP,knockout
EDL_WT_1,EDL,wildtype
EDL_WT_2,EDL,wildtype
EDL_WT_3,EDL,wildtype
EDL_ZBED6_KO_1,EDL,knockout
EDL_ZBED6_KO_2,EDL,knockout
EDL_ZBED6_KO_3,EDL,knockout
GAS_WT_1,GAS,wildtype
GAS_WT_2,GAS,wildtype
GAS_WT_3,GAS,wildtype
GAS_ZBED6_KO_1,GAS,knockout
GAS_ZBED6_KO_2,GAS,knockout
GAS_ZBED6_KO_3,GAS,knockout
LD_WT_1,LD,wildtype
LD_WT_2,LD,wildtype
LD_WT_3,LD,wildtype
LD_ZBED6_KO_1,LD,knockout
LD_ZBED6_KO_2,LD,knockout
LD_ZBED6_KO_3,LD,knockout
PMM_WT_1,PMM,wildtype
PMM_WT_2,PMM,wildtype
PMM_WT_3,PMM,wildtype
PMM_ZBED6_KO_1,PMM,knockout
PMM_ZBED6_KO_2,PMM,knockout
PMM_ZBED6_KO_3,PMM,knockout
RA_WT_1,RA,wildtype
RA_WT_2,RA,wildtype
RA_WT_3,RA,wildtype
RA_ZBED6_KO_1,RA,knockout
RA_ZBED6_KO_2,RA,knockout
RA_ZBED6_KO_3,RA,knockout
SOL_WT_1,SOL,wildtype
SOL_WT_2,SOL,wildtype
SOL_WT_3,SOL,wildtype
SOL_ZBED6_KO_1,SOL,knockout
SOL_ZBED6_KO_2,SOL,knockout
SOL_ZBED6_KO_3,SOL,knockout
TA_WT_1,TA,wildtype
TA_WT_2,TA,wildtype
TA_WT_3,TA,wildtype
TA_ZBED6_KO_1,TA,knockout
TA_ZBED6_KO_2,TA,knockout
TA_ZBED6_KO_3,TA,knockout
TIP_WT_1,TIP,wildtype
TIP_WT_2,TIP,wildtype
TIP_WT_3,TIP,wildtype
TIP_ZBED6_KO_1,TIP,knockout
TIP_ZBED6_KO_2,TIP,knockout
TIP_ZBED6_KO_3,TIP,knockout
